Официальное название,Размерная группа,Породные особенности,Основные факты,Описание
Бриар,Крупные,Оберегающие / Жизнерадостный / Живые / Настороженные / Уравновешенные / Общительные / Уверенные,"Отличная сторожевая собака
Отличная собака для семьи
Требуется постоянный уход за шерстью","Бриары — выносливые мускулистые собаки с уравновешенным характером. С 1990-х годов мировой спрос на бриаров увеличился до беспрецедентного уровня, и на сегодня это самая распространенная порода среди французских овчарок.

Бриары легко осваиваются в семье как превосходные собаки-компаньоны и сторожевые собаки."
Веймаранер,Крупные,Уравновешенные / Настороженные / Преданные / Трудолюбивые / Умные,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Не нуждается в интенсивной дрессировке","Веймаранеры отличаются высокой настойчивостью и систематичностью поиска, однако без излишней нервозности. Они славятся своим тонким чутьем.

Веймаранеры — прекрасные легавые, способные эффективо работать как в поле, так и на воде. Эти крупные собаки могут выполнять различные функции, но им хорошо удается и роль компаньонов. При этом веймаранеры всегда готовы защищать свой дом и недоверчиво ведут себя с посторонними."
"Венгерская борзая
",Крупные,Жизнерадостный / Сдержанные / Умные / Преданные,"Отличный компаньон
Отличная спортивная собака
Отличная сторожевая собака","Венгерские борзые — неутомимые, стремительные и выносливые собаки. Благодаря этим качествам они идеально подходят для охоты на зайцев и участия в собачьих бегах, показывая хорошие результаты, особенно на длинных дистанциях.

На треке некоторые венгерские борзые способны даже опережать грейхаундов. Собаки этой породы предназначены для травильной охоты и преследуют добычу, ориентируясь с помощью зрения. Нюх у венгерских борзых развит не менее хорошо. Венгерские борзые по природе немного отстраненные, но не робкие, отличаются быстрой реакцией, умом, преданностью и повышенной бдительностью."
Веттерхаунд,Крупные,Настороженные / Уверенные / Дружелюбные / Независимые / Умные / Преданные / Тихие / Уравновешенные / Жизнерадостный,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Нуждается в опытном владельце","Веттерхаунды — молчаливые решительные животные, которые ведут себя сдержанно по отношению к незнакомым людям, что делает их идеальными сторожевыми собаками. Эти мощные собаки хорошо плавают и подходят для выполнения разных задач.

Они специализируются на выслеживании выдр на болотистой местности, но также хорошо проявляют себя в ловле кротов и других садовых вредителей. Из-за своего темперамента они предпочитают больше выжидать, чем действовать. Большинство собак этой породы встречается у себя на родине, хотя некоторая часть веттерхаундов была завезена в другие европейские страны и в США."
Гамильтонстеваре,Крупные,Кроткие / Преданные / Тихие / Решительные / Дружелюбные,"Требует минимального ухода за шерстью
Требует большой физической активности
Хорошо ладит с людьми","Благодаря невозмутимому дружелюбному характеру гамильтонстеваре являются великолепными собаками-компаньонами. Они отличаются пропорциональным телосложением, демонстрирующим силу и мощь. Эти энергичные собаки никогда не кажутся тяжеловесными.

Иногда собак породы гамильтонстеваре используют для охоты на зайцев и лис, но они не охотятся вместе с другими собаками. В Швеции эти собаки никогда не участвуют в охоте на оленей."
"Голландская овчарка
",Крупные,Привязчивые / Настороженные / Умные / Преданные / Жизнерадостный / Сдержанные,"Требуется доступ к площадке на улице
Отличная собака для семьи
Требует большой физической активности","Ласковые, послушные, преданные и уверенные в себе голландские овчарки — неприхотливые и выносливые собаки. Они обладают всеми качествами превосходной пастушьей собаки, которые дополняет способность постоянно быть настороже. Голландские овчарки относятся к группе голландских пастушьих пород вместе с шапендозом и саарлооской волчьей собакой. Эксперты утверждают, что первоначально предки этих собак были скрещены с родственной им бельгийской овчаркой, которая похожа на голландскую овчарку по внешнему виду, способностям и представлена в таких же разновидностях.

В настоящее время голландские овчарки считаются служебными собаками. Они высоко ценятся за храбрость, мужество, выносливость и неутомимость. Эти собаки с раннего возраста обладают сильным характером, поэтому им нужна строгая дисциплина. Когда овчарка пройдет необходимое обучение и получит навыки социализации, ее способности поразят любого владельца."
"Гончая Д'артуа
",Крупные,Привязчивые / Уверенные / Кроткие / Спокойные / Умные / Преданные,"Требуется груминг в умеренном объеме
Требует большой физической активности
Дрессировку следует начинать в раннем возрасте","Гончие Д'артуа — это крупные собаки, которые в настоящее время используются в основном для охоты. Эти трудолюбивые гончие не очень быстрые, но они способны долго поддерживать темп и гнать дичь к линии огня, внимательно отслеживая запахи благодаря великолепному нюху.

Стая из 6–8 хорошо подобранных гончих Д'артуа удовлетворит требования даже самого взыскательного охотника. Эти собаки известны своей выносливостью, уравновешенным и ласковым характером как в полевых, так и в домашних условиях."
"Горная собака Атласа
",Крупные,Настороженные / Независимые / Преданные / Чувствительные,"Требуется груминг в умеренном объеме
Отличная собака для семьи
Хорошо поддается дрессировке","Горные собаки Атласа — это крепкие, сильные, подвижные и очень выносливые собаки. Представители этой породы мускулистые, легко возбудимые, крепко сложенные, но при этом не тяжеловесные. У них характерная густая шерсть, защищающая их от солнца и холода на горных склонах. Кроме того, шерсть обеспечивает защиту в драках с шакалами и другими хищниками.

У горных собак Атласа живой, прямой и решительный взгляд, как и положено бдительной собаке, которая всегда готова охранять. В некоторых регионах Марокко распространено купирование ушей у этих собак. Также может купироваться хвост у рабочих собак."
Грейхаунд,Крупные,"Умные / Кроткие / Привязчивые / Уравновешенные

","Требуется умеренная дрессировка
Требуется доступ к площадке на улице
Отличная собака для семьи","Грейхаунд, известный своим атлетизмом и острым зрением, со времен Средневековья был собакой-фаворитом в Великобритании. Закон, принятый в то время, гласил, что только королевские особы и представители дворянства имеют право охотиться с этими престижными собаками.

Умные, ласковые и спокойные, эти неприхотливые в содержании собаки рады провести день, отдыхая вместе с владельцем и его семьей. Собаки этой породы лучше всего подходят владельцам, которые хорошо понимают уникальные потребности грейхаундов."
"Гренландская собака
",Крупные,Дружелюбные / Независимые / Преданные / Тихие / Жизнерадостный / Живые,"Требуется груминг в умеренном объеме
Требует большой физической активности
Требует много пространства","Гренландские собаки — очень сильные северные шпицы, способные справляться с тяжелыми задачами ездовых собак в условиях арктических холодов. У них сильный охотничий инстинкт, потому что их предки охотились на тюленей и белых медведей. Гренландские собаки отличаются крепким сложением и особенно хорошо подходят людям, которые любят проводить время на свежем воздухе.

Они станут отличными компаньонами для тех, кто любит гулять в лесу или в горах."
Дирхаунд,Крупные,Кроткие / Дружелюбные / Послушный / Полные энтузиазма / Спокойные / Привязчивые / Жизнерадостный / Уравновешенные,"Не нуждается в интенсивной дрессировке
Требуется груминг в умеренном объеме
Нуждается в опытном владельце","Эти добродушные собаки ведут себя с достоинством и никогда не проявляют беспокойство или подозрительность. Дирхаунды напоминают крупных грубошерстных грейхаундов, но они отличаются более крупными размерами и более развитым костяком. Это отличные компаньоны, превосходные охотники и талантливые беговые собаки.

В Шотландии всегда были борзые с грубой шерстью. Межпородное скрещивание и отбор помогли сформировать породу. В настоящее время дирхаунды являются знаковой породой Шотландии."
"Дого канарио
",Крупные,"Привязчивые / Уверенные / Спокойные / Послушный

","Требует минимального ухода за шерстью
Отличная сторожевая собака
Требуется интенсивная дрессировка","Это крепкие и пропорционально сложенные собаки средних размеров с характерной черной маской. Тело длиннее, чем высота в холке (эта особенность чуть более выражена у сук).

Представители породы дого канарио уравновешенны и очень уверены в себе. Они очень привязаны к своему владельцу,послушны и покладисты по отношению к членам своей семьи, а к незнакомым людям относятся с подозрением. Они уверены в себе, величавы и немного сдержанны, но в состоянии готовности к действию очень решительны и бдительны. Голос у них низкий и глубокий."
"Дрентская куропаточная легавая
",Крупные,Спокойные / Дружелюбные / Преданные / Умные / Трудолюбивые / Кроткие,"Требует минимального ухода за шерстью
Отличная собака для семьи
Хорошо поддается дрессировке","Дрентская куропаточная легавая — универсальная охотничья собака, способная работать на различных ландшафтах. Кажется, что поддержание контакта с охотником — врожденное качество этой собаки. Во время поиска хвост многих собак этой породы движется по кругу, особенно когда собака улавливает запах.

Эти собаки могут легко приспособиться к любым условиям. Они способны охотиться на различные виды дичи на открытой или болотистой местности. Кроме того, они отлично приносят подстреленную дичь."
Жесткошерстная венгерская легавая,Крупные,Спокойные / Живые / Привязчивые / Умные / Уверенные / Полные энтузиазма / Решительные,"Требуется доступ к площадке на улице
Требует минимального ухода за шерстью
Не нуждается в интенсивной дрессировке","Жесткошерстная венгерская легавая, также известная как жесткошерстная выжла, очень привязана к своему владельцу, высоко ценит его авторитет, восприимчива и легко поддается дрессировке, но не терпит грубого обращения. Она поддерживает контакт с владельцем, ведет поиск дичи с увлечением и упорством, используя прекрасное чутье и отличные навыки обнаружения зверя.

Благодаря умному и терпеливому нраву жесткошерстную венгерскую легавую часто используют в качестве собаки-терапевта. При этом она очень энергична и нуждается в постоянной физической активности, успешно выступая в спортивных дисциплинах для собак."
"Испанская борзая
",Крупные,,"Терпеливое отношение к другим животным и детям
Требуются умеренные физические нагрузки
Требуется груминг в умеренном объеме","Считается, что испанская борзая, или гальго, является одним из предков грейхаунда. Собаки этой породы могут быть также жесткошерстными, причем шерсть может быть разной длины, она образует «бороду» и «усы», а также «брови» и хохолок на макушке.

Это серьезные, отстраненные собаки, в то же время очень энергичные и активные во время охоты. Однако в домашних условиях они дружелюбные и спокойные, хорошо ладят с детьми и другими домашними животными"
"Итальянская легавая
",Крупные,Преданные / Спокойные,"Не нуждается в интенсивной дрессировке
Требует минимального ухода за шерстью","Выносливые итальянские легавые — это надежные охотничьи собаки с отличным обонянием, которые подходят для любого вида охоты. Они послушны и легко поддаются дрессировке.

Несмотря на развитые охотничьи инстинкты, эти собаки становятся ласковыми и любящими питомцами для всей семьи благодаря неприхотливости в содержании, терпеливому отношению к детям и способности оставаться дома в одиночестве."
"Итальянский кане корсо
",Крупные,Жизнерадостный / Оберегающие / Подвижный / Послушный,"Отличная сторожевая собака
Нуждается в опытном владельце
Требуется доступ к площадке на улице","Итальянские кане корсо славятся способностью легко приспосабливаться к различным условиям, сообразительностью и ловкостью, поэтому их повсеместно используют для охраны имущества и скота.

На первый взгляд итальянские кане корсо кажутся устрашающими, но под грозной внешностью скрываются умные и преданные собаки, которые всегда готовы угодить своему владельцу."
"Кастро Лаборейру
",Крупные,Уверенные / Спокойные / Кроткие / Жизнерадостный / Умные / Преданные,"Отличная сторожевая собака
Требует минимального ухода за шерстью
Необходима дрессировка на послушание","Кастро Лаборейру — собаки из группы мастифов с почти прямоугольным телом. Это энергичные животные с приятным внешним видом, иногда обладающие довольно ярким окрасом. Их походка свободна, легка и энергична.

Кастро Лаборейру послушны и преданы своим владельцам. Они отлично защищают скот от нападений многочисленных волков, которые до сих пор часто встречаются в горах северной Португалии. Из этой породы получаются замечательные сторожевые собаки, и днем и ночью охраняющие покой своей семьи. Несмотря на спокойный нрав, суровое выражение морды этих крепких горных собак часто внушает страх."
"Кламбер спаниель
",Крупные,Живые / Умные / Решительные / Тихие / Уравновешенные / Преданные / Привязчивые,"Требуется постоянный уход за шерстью
Требуется доступ к площадке на улице
Отличная собака для семьи","Кламбер спаниели — это стойкие, добрые, очень умные собаки, чья решительность дополняет их природные способности. Это молчаливые трудолюбивые животные с превосходным чутьем, уравновешенные и уверенные компаньоны, излучающие доброту и достоинство.

Эти гармонично сложенные собаки с тяжелым костяком всегда имеют задумчивый вид. Они активны и своим видом выражают силу. Благодаря длинному телу и коротким конечностям кламбер спаниели отличаются перекатывающейся походкой, которая позволяет им без усилий перемещаться по прямой линии."
Комондор,Крупные,Жизнерадостный / Уверенные / Оберегающие / Тихие / Настороженные,"Требует большой физической активности
Требует много пространства
Требуется интенсивная дрессировка","Комондоры по своей природе настороженно относятся к посторонним и отчаянно защищают своих владельцев и их имущество, что делает их ценными сторожевыми собаками.

Из-за крупных размеров и инстинктивного стремления «всегда оберегать свое стадо» они больше подходят опытным владельцам. Для их социализации, обучения, поддержания физической активности нужны определенные навыки."
Кувас,Крупные,Настороженные / Уверенные / Оберегающие / Преданные / Привязчивые / Живые / Независимые / Жизнерадостный,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Требуется интенсивная дрессировка","Кувас — это крупная, сильная, уверенная собака, используемая на родине, в Венгрии, в качестве пастушьей собаки. У представителей этой породы густая, волнистая шерсть белого цвета, защищающая в суровых климатических условиях.

Кувасы сдержанно относятся к посторонним. Они известны как отличные сторожевые собаки, используемые для защиты имущества, ценностей и людей."
"Курчавошерстный ретривер
",Крупные,Умные / Уравновешенные / Преданные / Уверенные / Дружелюбные / Независимые / Сдержанные,"Не нуждается в интенсивной дрессировке
Требует большой физической активности
Отличная собака для семьи","Умные, уравновешенные, надежные, смелые, дружелюбные, уверенные в себе и независимые: вот семь качеств, которые идеально описывают характер курчавошерстных ретриверов. Впрочем, с посторонними они обычно ведут себя скорее сдержанно.

К сожалению, эта порода водяных собак относится к числу редких. Хотя многие считают курчавошерстных ретриверов идеальными охотничьими собаками, они известны и как прекрасные компаньоны. Благодаря неиссякаемой энергии собака этой породы станет отличными спутником на прогулках, а игривый характер и терпение с детьми сделают ее любимицей всей семьи."
"Майорская пастушья собака
",Крупные,Уверенные / Преданные / Чувствительные / Умные / Послушный / Привязчивые / Жизнерадостный,"Требует минимального ухода за шерстью
Отличная сторожевая собака
Дружелюбное поведение при общении с детьми","Майорские пастушьи собаки отличаются относительно крупным, но не тяжелым сложением. Окрас может быть полностью черным или черным с белыми отметинами на груди. Это уравновешенные, выносливые, сильные, мускулистые, крепкие и подвижные собаки. Существует две разновидности этой породы, различающихся типом шерсти: короткошерстная (наиболее распространенная) и длинношерстная.

Эти благородные собаки признают только одного владельца и с трудом привыкают к посторонним. Умные, послушные, ласковые, в молодом возрасте — часто робкие и тихие, они необыкновенно тонко чувствуют ситуацию. Они отважны, способны ввязаться в драку, но беззаветно преданы владельцу."
"Майорский мастиф
",Крупные,Настороженные / Уверенные / Независимые / Тихие / Уравновешенные,"Отличная сторожевая собака
Требует минимального ухода за шерстью
Хорошо ладит с людьми","Несмотря на то, что майорские мастифы по природе мирные, в некоторых ситуациях они проявляют свою силу и отвагу. Они общительны с людьми, преданны и ласковы по отношению к своему владельцу.

Майорские мастифы — отличные сторожевые и охранные собаки, уверенные и надежные в спокойном состоянии и с пронзительным взглядом, когда настороже."
"Маремма-абруцкая овчарка
",Крупные,Привязчивые / Спокойные / Умные / Кроткие,"Требует минимального ухода за шерстью
Отличная сторожевая собака
Хорошо поддается дрессировке","Маремма-абруцкие овчарки — это крупные собаки мощного телосложения. Их грубоватая, но в то же время величественная и хорошо узнаваемая внешность свидетельствует о выносливости.

Храбрые сторожевые собаки этой породы проявляют большое мужество, целеустремленность и проницательность, выполняя свою основную работу по охране и защите скота и имущества. Маремма-абруцкие овчарки отличаются гордым характером и преданностью своим владельцам."
"Немецкая жесткошерстная легавая
",Крупные,Привязчивые / Уравновешенные / Уверенные,"Требуется груминг в умеренном объеме
Хорошо поддается дрессировке","Немецкие жесткошерстные легавые обладают выдающимися качествами, которые признаются во всем мире, при этом на родине их считают лучшей породой легавых.

Будучи универсальными охотничьими собаками, немецкие жесткошерстные легавые характеризуются всеми качествами, необходимыми для работы на равнине, в лесу и на болоте, когда требуется ждать сигналов или реагировать на них. Как собаки-компаньоны они уравновешенны и сильно привязываются к владельцам."
"Немецкая короткошерстная легавая
",Крупные,Жизнерадостный / Уравновешенные / Преданные / Сдержанные / Уверенные,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Требуется интенсивная дрессировка","Немецкая короткошерстная легавая (или немецкий курцхаар) — это умная, дружелюбная и исполнительная собака. Она отличается уравновешенным нравом и сильно привязывается к своим владельцам. Эти собаки терпеливы к детям и другим собакам, однако из-за крупных размеров они не подходят для игр с совсем маленькими детьми.

Немецкие короткошерстные легавые отличаются атлетичностью и целеустремленностью. Это крепкие универсальные охотничьи собаки."
"Немецкий лангхаар
",Крупные,Привязчивые / Дружелюбные / Кроткие / Умные / Общительные,"Требуется доступ к площадке на улице
Хорошо поддается дрессировке
Требуется груминг в умеренном объеме","Эти уравновешенные, спокойные и тихие спаниели — отличные компаньоны, которые легко поддаются дрессировке. Они крепкие, мускулистые и довольно приземистые, но очень изящно сложены. Более мелкие собаки должны отличаться более плотным телосложением.

В родословной немецкого лангхаара есть собаки для охоты на птиц, соколиной охоты и охоты на воде, а также бракки, что объясняет наличие исключительно разносторонних навыков у собак этой породы."
"Немецкий штихельхаар
",Крупные,Уравновешенные / Уверенные / Спокойные / Жизнерадостный,"Требуется груминг в умеренном объеме
Любит охотиться","Неудивительно, что шерсть является отличительной особенностью породы немецкий штихельхаар. Небольшая борода и густые, жесткие брови придают этим мощным собакам довольно суровый вид.

Тем не менее немецкий штихельхаар — уравновешенная, спокойная собака. Представители этой породы выносливые и смелые собаки, они всегда уверены в себе и никогда не проявляют робости."
Оттерхаунд,Крупные,Дружелюбные / Уравновешенные / Уверенные,"Требуется доступ к площадке на улице
Требуется груминг в умеренном объеме
Отличная собака для семьи","Это крупные собаки с крепким телосложением, величественной посадкой головы, прямыми конечностями и пружинистыми размашистыми движениями Существенные характеристики породы, помогающие собакам выполнять их основную работу, — широкие лапы и жесткая двухслойная шерсть.

Эти дружелюбные, ласковые и энергичные охотничьи собаки — превосходные компаньоны для людей, ведущих активный образ жизни. Представители этой породы используют в общении широкий спектр звуков."
"Пердигуэро-де-Бургос
",Крупные,Кроткие / Тихие / Жизнерадостный / Трудолюбивые / Послушный / Уравновешенные / Умные,Отличная собака для семьи,"Испанская легавая — крупная короткошерстная порода собак с хорошо развитой головой, висячими ушами, компактным туловищем и крепкими лапами. Это собаки почти квадратного, пропорционального телосложения, которые выглядят гармоничными как в стойке, так и в движении.

Пердигуэро-де-Бургос — выносливая порода, которая может охотиться на все виды дичи на любой местности. Испанские легавые послушны, надежны, наделены острым обонянием и отличными охотничьими навыками, во многом обусловленными их спокойным нравом, способностью к уверенному выслеживанию, а также к поиску и подаче дичи."
"Пикардийский спаниель
",Крупные,Привязчивые / Спокойные / Кроткие / Общительные,"Требует большой физической активности
Хорошо поддается дрессировке
Терпеливое отношение к другим животным и детям","Этот французский спаниель стал ответом охотников, проживавших в долине реки Соммы, на приток британских пойнтеров в начале XX века. Этих спокойных собак до сих пор используют для охоты на дичь, но из них также получаются очень дружелюбные компаньоны.

Пикардийские спаниели — это хорошо сложенные собаки со спокойным выражением и энергично-импозантной посадкой головы. Официальный стандарт был опубликован более века назад, и с тех пор порода мало изменилась."
"Поденко канарио
",Крупные,Уверенные / Полные энтузиазма / Преданные / Сдержанные,"Требует минимального ухода за шерстью
Требуется владелец с некоторым опытом
Терпеливое отношение к другим животным и детям","Внушительные, но не агрессивные, поденко канарио — смелые и подвижные собаки, которые могут активно работать весь день, не проявляя ни малейших признаков усталости. Они всей душой преданы своему владельцу.

Благодаря великолепным нюху и слуху они способны находить кроликов на дне природных расщелин, в трещинах стен или в груде камней на краях вспаханных полей. Сохранение этих собак как породы безусловно связано с их охотничьим даром, который сделал их незаменимыми."
Пойтевин,Крупные,"Независимые / Живые

","Требует минимального ухода за шерстью
Требует много пространства
Требуется интенсивная дрессировка","На родине, во Франции, пойтевины ценятся достаточно высоко и используются для охоты в больших стаях. Пойтевины — прирожденные атлеты с мощными мышцами, демонстрирующие высокое мастерство во время охоты на кабанов, оленей и косуль. Эти превосходные охотники всегда готовы усердно работать. Пойтевины одинаково эффективно проявляют себя на суше и в воде и ценятся многими как самые красивые гончие, предназначенные для работы в стае.

У пойтевинов один из самых длинных послужных списков среди собак, работающих в охотничьих стаях. Контролируемое разведение породы началось в XIX веке, а основателями породы стали потомки знаменитых королевских белых собак."
"Польская подгалянская овчарка
",Крупные,Привязчивые / Умеет за себя постоять / Настороженные / Спокойные / Уверенные / Независимые / Умные / Преданные / Послушный / Тихие / Общительные,"Отличная сторожевая собака
Требуется груминг в умеренном объеме
Дрессировку следует начинать в раннем возрасте","Польские подгалянские овчарки — это пастушьи и сторожевые собаки с импозантной и привлекательной внешностью, которая снискала им любовь владельцев. Первый стандарт, принятый в 1938 году, подчеркнул эти черты породы. Густая шерсть позволяет им выживать в экстремальных климатических условиях.

Подгалянские овчарки — компактные и сильные собаки, которые очень энергичны и подвижны. На первый взгляд эти сильные животные могут напоминать других крупных белых собак, породы кувас, но при ближайшем рассмотрении польские овчарки во многом отличаются от венгерских, прежде всего за счет более величественной посадки головы."
"Польский огар
",Крупные,"Привязчивые / Кроткие / Преданные / Уравновешенные

","Отличная сторожевая собака
Требуется интенсивная дрессировка
Требует минимального ухода за шерстью","Польские огары — мощные собаки, обладающие необычайно острым чутьем и большой настойчивостью, что очень ценится польскими охотниками. На охоте собаки подают глубокий, мелодичный голос, поддерживая связь с охотниками. Эта замечательная охотничья собака превосходно справляется и с ролью компаньона: она нетребовательна в уходе, предана семье и недоверчива к незнакомым людям.

В прошлом польских огаров использовали преимущественно для охоты на зайцев, лис, косуль, кабанов, а также для вспугивания диких уток, спрятавшихся в камышах. Поскольку в настоящее время охота на зайцев с собаками запрещена почти на всей территории Польши, польских огаров используют только для охоты на кабанов и лис."
